proteinID,domainID,domainDescription,domainStart,domainEnd
A0A093FLZ4,PF01761,3-dehydroquinate synthase domain,48,296
A0A093FPD0,PF04572,Alpha 14-glycosyltransferase domain,199,323
A0A093FR47,PF14637,Folliculin-interacting protein middle domain,289,522
A0A093FTP6,PF10268,Transmembrane protein 161A/B,2,482
A0A093FTY5,mobidb-lite,disorder_prediction,273,293
A0A093G0A8,PF00053,Laminin EGF domain,397,439
A0A093G451,PF13821,Domain of unknown function DUF4187,203,252
A0A093G8P9,PF00514,Armadillo,413,451
A0A093G999,mobidb-lite,disorder_prediction,45,78
A0A093GBP2,PF06009,Laminin domain II,729,857
A0A093GHR4,PF00620,Rho GTPase-activating protein domain,1143,1293
A0A093GSC1,mobidb-lite,disorder_prediction,146,170
A0A093GTN4,PF00631,G-protein gamma-like domain,2,41
A0A093GUU4,mobidb-lite,disorder_prediction,1167,1251
A0A093GV58,PF01384,Phosphate transporter,24,637
A0A093GZW1,PF04565,RNA polymerase Rpb2 domain 3,405,469
A0A093H2L4,mobidb-lite,disorder_prediction,1,38
A0A093H308,PF00412,Zinc finger LIM-type,6,61
A0A093HP00,PF00626,Gelsolin-like domain,951,1014
A0A093I1P7,PF13882,Neurofascin/L1/NrCAM C-terminal domain,743,827
A0A093ICE8,mobidb-lite,disorder_prediction,519,542
A0A093IEU2,PF00320,Zinc finger GATA-type,60,93
A0A093IF29,PF00431,CUB domain,181,290
A0A093IFF5,mobidb-lite,disorder_prediction,854,876
A0A093IJ63,PF00027,Cyclic nucleotide-binding domain,62,145
A0A093IM88,PF04961,Cyclodeaminase/cyclohydrolase,340,518
A0A093IUQ3,PF12763,EH domain,107,195
A0A093IVP5,PF01585,G-patch domain,224,269
A0A093J4A0,PF13181,Tetratricopeptide repeat,71,102
A0A093J4A7,PF08264,Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase anticodon-binding,710,866
A0A093J7P5,PF00122,P-type ATPase A  domain,92,350
A0A093JDH8,PF00156,Phosphoribosyltransferase domain,30,201
A0A093JFI4,PF00018,SH3 domain,844,891
A0A093JJ02,PF00090,Thrombospondin type-1 (TSP1) repeat,772,824
A0A093L5V9,PF11461,Rab interacting lysosomal protein dimerization domain,105,161
A0A093LDB5,mobidb-lite,disorder_prediction,264,289
A0A093NJH3,PF16070,Transmembrane protein family 132 middle domain,406,452
A0A093NNX0,PF00093,VWFC domain,7,70
A0A093NPP1,PF03114,BAR domain,2,206
A0A093NZW9,CoiledCoil,Nucleoprotein TPR (Fragment) OS=Pygoscelis adeliae GN=AS28_01885 PE=4 SV=1,1201,1229
A0A093P2E3,mobidb-lite,disorder_prediction,41,76
A0A093P6J4,mobidb-lite,disorder_prediction,738,771
A0A093P7M1,PF16543,ZC3H15/TMA46 family C-terminal,113,180
A0A093P7U8,PF00028,Cadherin,1169,1254
A0A093PQ64,PF03165,MAD homology 1 Dwarfin-type,1,63
A0A093PTK6,PF00046,Homeobox domain,275,331
A0A093PTN8,PF07686,Immunoglobulin V-set domain,17,102
A0A093PVC9,PF02412,Thrombospondin type 3-like repeat,167,204
A0A093Q5B9,PF00226,DnaJ domain,4,65
A0A093QCC3,PF00041,Fibronectin type III,870,948
A0A093QGG1,PF00595,PDZ domain,629,707
A0A093QM83,PF01049,Cadherin cytoplasmic domain,645,699
A0A093QQ48,PF14780,Domain of unknown function DUF4477,2,143
A0A093QQC5,mobidb-lite,disorder_prediction,269,313
A0A093QSR4,mobidb-lite,disorder_prediction,1844,1873
A0A093R8F3,mobidb-lite,disorder_prediction,1381,1415
A0A093SDR6,PF00249,SANT/Myb domain,85,131
A0A093TFS8,PF00170,Basic-leucine zipper domain,254,316
A0A093TMP7,mobidb-lite,disorder_prediction,228,288
A0A093XDR2,PF00076,RNA recognition motif domain,175,253
A0A093XED9,mobidb-lite,disorder_prediction,309,367
A0A093XER4,PF00022,Actin family,278,722
A0A093XTV7,PF12171,Zinc finger double-stranded RNA binding,478,503
A0A093Y692,PF04116,Fatty acid hydroxylase,237,378
A0A093YLV8,mobidb-lite,disorder_prediction,343,367
A0A093YXB8,PF01595,Domain of unknown function DUF21,494,658
A0A093Z188,mobidb-lite,disorder_prediction,1,37
A0A093Z339,PF00225,Kinesin motor domain,50,118
A0A093Z5S0,mobidb-lite,disorder_prediction,1470,1505
A0A093ZLB9,PF05368,NmrA-like domain,92,317
A0A093ZRU6,PF00241,Actin-depolymerising factor homology domain,394,527
A0A093ZUV1,PF03645,Tctex-1,266,396
A0A093ZWY3,PF12350,CTD kinase subunit gamma Ctk3 C-terminal,245,311
A0A093ZZR7,PF11702,Protein of unknown function DUF3295,306,595
A0A094A0Q9,PF00172,Zn(2)-C6 fungal-type DNA-binding domain,32,65
A0A094A458,CoiledCoil,Uncharacterized protein OS=Pseudogymnoascus sp. VKM F-4281 (FW-2241) GN=V493_05402 PE=3 SV=1,25,46
A0A094A6C1,mobidb-lite,disorder_prediction,1016,1132
A0A094A7K8,mobidb-lite,disorder_prediction,1,20
A0A094A8V0,PF00018,SH3 domain,340,386
A0A094A984,mobidb-lite,disorder_prediction,787,829
A0A094AHM8,mobidb-lite,disorder_prediction,82,158
A0A094AIF6,PF00931,NB-ARC,349,593
A0A094AK50,mobidb-lite,disorder_prediction,35,110
A0A094AKK2,PF00400,WD40 repeat,731,769
A0A094AS31,PF00664,ABC transporter type 1 transmembrane domain,479,656
A0A094B552,PF03483,B3/B4 tRNA-binding domain,112,272
A0A094BGG6,PF00637,Clathrin heavy chain/VPS 7-fold repeat,1431,1573
A0A094BGR9,mobidb-lite,disorder_prediction,1,115
A0A094BIU9,PF00076,RNA recognition motif domain,498,549
A0A094BMZ5,PF00703,Glycoside hydrolase family 2 immunoglobulin-like beta-sandwich,189,283
A0A094C1F5,PF00288,GHMP kinase N-terminal domain,109,167
A0A094C2Y0,PF00025,Small GTPase superfamily ARF/SAR type,5,175
A0A094CKW8,PF02540,NAD/GMP synthase,342,612
A0A094CQ23,mobidb-lite,disorder_prediction,100,125
A0A094D086,PF03095,Phosphotyrosyl phosphatase activator PTPA,32,368
A0A094DBS2,PF00106,Short-chain dehydrogenase/reductase SDR,44,180
A0A094DF71,mobidb-lite,disorder_prediction,506,528
A0A094DKU7,PF00687,Ribosomal protein L1/ribosomal biogenesis protein,69,284
A0A094DMK6,mobidb-lite,disorder_prediction,631,748
A0A094DR67,PF15370,Protein of unknown function DUF4598,69,163
A0A094E025,PF14558,ML-like domain,103,283
A0A094E3V9,PF08574,Transcription factor  Iwr1,345,414
A0A094E833,PF01545,Cation efflux protein,213,466
A0A094EH05,PF07690,Major facilitator superfamily,39,422
A0A094EPG7,mobidb-lite,disorder_prediction,1,42
A0A094EQW0,PF01968,Hydantoinase/oxoprolinase,210,385
A0A094EV04,PF10596,Pre-mRNA-processing-splicing factor 8 U6-snRNA-binding,1469,1627
A0A094EYS2,PF06244,Coiled-coil domain-containing protein 124,53,190
A0A094F1C3,mobidb-lite,disorder_prediction,1,25
A0A094F4S9,mobidb-lite,disorder_prediction,1,75
A0A094F8D2,PF00425,Chorismate-utilising enzyme C-terminal,543,719
A0A094FAS3,PF00083,Major facilitator  sugar transporter-like,62,532
A0A094FIW1,PF04082,Transcription factor domain fungi,152,373
A0A094FKS7,mobidb-lite,disorder_prediction,45,83
A0A094FMN5,PF01192,RNA polymerase subunit omega/K/RPB6,90,142
A0A094FSP3,mobidb-lite,disorder_prediction,1,48
A0A094FUJ9,mobidb-lite,disorder_prediction,370,401
A0A094G2S0,PF16073,Starter unit:ACP transacylase,74,200
A0A094G749,PF00378,Crotonase superfamily,25,275
A0A094G9R9,mobidb-lite,disorder_prediction,46,94
A0A094GB61,PF01370,NAD-dependent epimerase/dehydratase,13,154
A0A094GB80,PF02969,TATA box binding protein associated factor (TAF),7,70
A0A094GF66,mobidb-lite,disorder_prediction,1,57
A0A094GIQ3,PF00931,NB-ARC,345,607
A0A094GIU9,PF00387,Phospholipase C phosphatidylinositol-specific Y domain,550,662
A0A094GQA5,PF07883,Cupin 2 conserved barrel,64,113
A0A094GSR9,PF07690,Major facilitator superfamily,768,1136
A0A094GV21,PF02769,AIR synthase-related protein C-terminal domain,445,596
A0A094GWL8,PF09333,Autophagy-related C-terminal,2987,3066
A0A094H0A8,PF00840,Glycoside hydrolase family 7,47,192
A0A094H3B2,PF04142,Nucleotide-sugar transporter,44,394
A0A094HAL5,PF03364,Coenzyme Q-binding protein COQ10 START domain,39,204
A0A094HB57,mobidb-lite,disorder_prediction,170,287
A0A094HC94,PF00153,Mitochondrial substrate/solute carrier,103,191
A0A094HF81,PF03443,Glycoside hydrolase family 61,21,214
A0A094HVE0,mobidb-lite,disorder_prediction,1291,1340
A0A094IHX6,PF00067,Cytochrome P450,78,522
A0A094II20,mobidb-lite,disorder_prediction,316,338
A0A094JKJ7,PF00080,Superoxide dismutase copper/zinc binding domain,11,150
A0A094K696,mobidb-lite,disorder_prediction,405,425
A0A094K858,mobidb-lite,disorder_prediction,345,369
A0A094KA13,PF06602,Myotubularin-like phosphatase domain,100,439
A0A094KDZ0,PF01067,Peptidase C2 calpain large subunit domain III,345,491
A0A094KRT9,PF01237,Oxysterol-binding protein,120,512
A0A094KRV3,PF00167,Fibroblast growth factor family,30,121
A0A094KT94,PF00616,Ras GTPase-activating protein,888,1048
A0A094KXP7,PF01201,Ribosomal protein S8e/ribosomal biogenesis NSA2,1,180
A0A094LJQ9,mobidb-lite,disorder_prediction,318,340
A0A094M040,PF08742,Uncharacterised domain cysteine-rich,1015,1082
A0A094N628,PF00694,Aconitase A/isopropylmalate dehydratase small subunit swivel domain,658,784
A0A094ZGG9,mobidb-lite,disorder_prediction,109,137
A0A094ZLL8,LowComplexity,Dedicator of cytokinesis protein 11 OS=Schistosoma haematobium GN=MS3_03152 PE=3 SV=1,2968,2985
A0A094ZMZ0,mobidb-lite,disorder_prediction,527,546
A0A094ZSE7,mobidb-lite,disorder_prediction,349,370
A0A094ZW07,LowComplexity,Protocadherin gamma-A10 OS=Schistosoma haematobium GN=MS3_07500 PE=4 SV=1,73,85
A0A095B4L9,PF01221,Dynein light chain type 1/2,10,93
A0A095BZ84,mobidb-lite,disorder_prediction,254,279
A0A095CER2,CoiledCoil,Citron Rho-interacting kinase OS=Schistosoma haematobium GN=MS3_09798 PE=4 SV=1,1004,1032
A0A096LQ64,mobidb-lite,disorder_prediction,525,574
A0A096LR56,PF07679,Immunoglobulin I-set,373,467
A0A096LRG7,PF02188,GoLoco motif,157,179
A0A096LT02,PF00008,EGF-like domain,492,520
A0A096LXR8,mobidb-lite,disorder_prediction,62,89
A0A096M2G6,PF01400,Peptidase M12A,54,235
A0A096M3D4,mobidb-lite,disorder_prediction,217,241
A0A096M3Q4,PF04548,AIG1-type guanine nucleotide-binding (G) domain,1,183
A0A096M5S1,CoiledCoil,Uncharacterized protein OS=Poecilia formosa GN=RSF1 PE=4 SV=1,840,864
A0A096M751,PF02037,SAP domain,272,305
A0A096M765,PF00060,Ionotropic glutamate receptor,219,491
A0A096M9C3,mobidb-lite,disorder_prediction,204,229
A0A096MBQ2,PF07690,Major facilitator superfamily,50,399
A0A096MES0,PF16533,Stromal interaction molecule Orai1-activating region,330,429
A0A096MG43,mobidb-lite,disorder_prediction,1,25
A0A096MGL9,mobidb-lite,disorder_prediction,538,591
A0A096MIM8,mobidb-lite,disorder_prediction,1409,1439
A0A096MLS5,mobidb-lite,disorder_prediction,774,793
A0A096MQX2,PF00169,Pleckstrin homology domain,9,104
A0A096MUC0,PF00887,Acyl-CoA-binding protein ACBP,87,169
A0A096MVJ5,PF07888,Calcium binding and coiled-coil domain-like,16,415
A0A096MXJ6,CoiledCoil,Uncharacterized protein OS=Papio anubis PE=4 SV=1,740,761
A0A096MXM1,PF12235,Fragile X-related 1 protein C-terminal core,314,436
A0A096MYK6,PF00179,Ubiquitin-conjugating enzyme E2,65,201
A0A096MZJ1,mobidb-lite,disorder_prediction,1223,1256
A0A096N0D3,mobidb-lite,disorder_prediction,281,338
A0A096N1B3,PF00047,Immunoglobulin,312,384
A0A096N6X5,PF09380,FERM C-terminal PH-like domain,238,327
A0A096N7E2,PF00028,Cadherin,773,861
A0A096ND20,PF00400,WD40 repeat,457,486
A0A096NHV0,CoiledCoil,E3 ubiquitin-protein ligase RNF8 OS=Papio anubis GN=RNF8 PE=3 SV=1,352,394
A0A096NJM7,PF12624,Vacuolar protein sorting-associated protein 13 N-terminal domain,14,109
A0A096NRE1,PF00787,Phox homologous domain,27,118
A0A096NTZ4,mobidb-lite,disorder_prediction,527,575
A0A096NUH0,PF03874,RNA polymerase II Rpb4,10,122
A0A096NVR2,PF08726,EF-hand Ca insensitive,844,910
A0A096NX74,PF00095,WAP-type 'four-disulfide core' domain,31,75
A0A096P149,PF12937,F-box domain,6,50
A0A096P2Q6,PF05000,RNA polymerase Rpb1 domain 4,718,823
A0A096P4G0,PF00438,S-adenosylmethionine synthetase N-terminal,19,116
A0A096P9R3,PF03484,tRNA synthetase B5-domain,318,385
A0A096PA60,mobidb-lite,disorder_prediction,876,921
A0A096QZU0,mobidb-lite,disorder_prediction,166,194
A0A096UMZ0,PF08079,Ribosomal protein L30 N-terminal,10,81
A0A096UU51,PF01344,Kelch repeat type 1,99,152
A0A096V947,PF00115,Cytochrome c oxidase subunit I,2,219
A0A096XCG1,PF00471,Ribosomal protein L33,10,69
A0A096Y157,PF00115,Cytochrome c oxidase subunit I,2,205
A0A096Y7G3,PF00119,ATP synthase F0 complex subunit A,21,222
A0A096YDT0,mobidb-lite,disorder_prediction,309,362
A0A097CCE4,PF00115,Cytochrome c oxidase subunit I,2,219
A0A097ITQ5,PF00115,Cytochrome c oxidase subunit I,2,183
A0A097JTY7,PF00361,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,23,288
A0A097P3X5,PF00069,Protein kinase domain,8,157
A0A097PC91,PF00119,ATP synthase F0 complex subunit A,34,223
A0A097PNJ2,PF09088,MIF4G-like type 1,300,425
A0A097ZQH0,PF12143,Polyphenol oxidase C-terminal,438,569
A0A098CM30,PF00969,MHC class II beta chain N-terminal,9,68
A0A098GL47,PF02790,Cytochrome C oxidase subunit II transmembrane domain,1,83
A0A098M0X1,PF00134,Cyclin N-terminal,75,158
A0A098M204,PF05005,Janus,6,112
A0A098VUY7,PF01138,Exoribonuclease phosphorolytic domain 1,44,179
A0A099NX05,mobidb-lite,disorder_prediction,626,654
A0A099P1W2,mobidb-lite,disorder_prediction,831,868
A0A099P3D8,PF01014,Uricase,8,129
A0A099P3P4,PF00443,Peptidase C19 ubiquitin carboxyl-terminal hydrolase,724,1258
A0A099YX36,CoiledCoil,Centrosomal protein of 120 kDa (Fragment) OS=Tinamus guttatus GN=N309_00849 PE=4 SV=1,848,879
A0A099YXJ0,PF01409,Phenylalanyl-tRNA synthetase,26,147
A0A099YY84,PF00046,Homeobox domain,46,102
A0A099YZN1,PF01582,Toll/interleukin-1 receptor homology (TIR) domain,868,1013
A0A099Z1B8,PF15412,Nse4/EID protein Nse3/MAGE-binding domain,37,88
A0A099Z2A6,PF00248,NADP-dependent oxidoreductase domain,11,245
A0A099Z2C7,mobidb-lite,disorder_prediction,452,472
A0A099Z3L5,CoiledCoil,Circadian locomoter output cycles protein kaput (Fragment) OS=Tinamus guttatus GN=N309_02345 PE=4 SV=1,493,514
A0A099Z478,PF00168,C2 domain,161,259
A0A099Z4D3,PF15612,WHIM1 domain,595,639
A0A099ZAZ1,mobidb-lite,disorder_prediction,623,645
A0A099ZB99,PF00179,Ubiquitin-conjugating enzyme E2,16,125
A0A099ZFD1,CoiledCoil,Ribosome-binding protein 1 (Fragment) OS=Tinamus guttatus GN=N309_02392 PE=4 SV=1,474,495
A0A099ZJE5,PF08447,PAS fold-3,187,273
A0A099ZJW3,PF02828,L27 domain C-terminal,6,59
A0A099ZMD2,PF02886,Lipid-binding serum glycoprotein C-terminal,252,492
A0A099ZMM8,mobidb-lite,disorder_prediction,1,35
A0A099ZUL9,PF02931,Neurotransmitter-gated ion-channel ligand-binding domain,1,166
A0A099ZWB7,mobidb-lite,disorder_prediction,1317,1390
A0A0A0A5D9,CoiledCoil,Protein SOGA2 (Fragment) OS=Charadrius vociferus GN=N301_04862 PE=4 SV=1,89,131
A0A0A0A8I5,PF00041,Fibronectin type III,388,466
A0A0A0A8V2,PF00643,B-box-type zinc finger,117,150
A0A0A0ABK6,PF00019,Transforming growth factor-beta C-terminal,190,291
A0A0A0ADL8,PF03002,Somatostatin/Cortistatin C-terminal,59,76
A0A0A0AEU8,mobidb-lite,disorder_prediction,437,471
A0A0A0AGK3,PF00069,Protein kinase domain,3,269
A0A0A0AGL2,PF03372,Endonuclease/exonuclease/phosphatase,3,296
A0A0A0AL58,PF16879,Sin3 C-terminal,887,1187
A0A0A0AR62,PF00078,Reverse transcriptase domain,1,118
A0A0A0ARW6,CoiledCoil,RB1-inducible coiled-coil protein 1 (Fragment) OS=Charadrius vociferus GN=N301_08782 PE=4 SV=1,981,1002
A0A0A0AVX9,PF00041,Fibronectin type III,1151,1234
A0A0A0AZE3,mobidb-lite,disorder_prediction,342,430
A0A0A0AZI1,mobidb-lite,disorder_prediction,635,654
A0A0A0AZK1,PF00090,Thrombospondin type-1 (TSP1) repeat,289,337
A0A0A0K3H3,PF01426,Bromo adjacent homology (BAH) domain,23,135
A0A0A0K6E9,mobidb-lite,disorder_prediction,311,375
A0A0A0K8P5,PF13516,Leucine-rich repeat,154,177
A0A0A0KBD9,PF00931,NB-ARC,160,288
A0A0A0KF88,PF08263,Leucine-rich repeat-containing N-terminal plant-type,33,75
A0A0A0KIF1,mobidb-lite,disorder_prediction,275,461
A0A0A0KM01,mobidb-lite,disorder_prediction,1,32
A0A0A0L081,PF00069,Protein kinase domain,88,357
A0A0A0LAD6,PF00226,DnaJ domain,95,174
A0A0A0LHF3,PF01380,Sugar isomerase (SIS),371,498
A0A0A0LK76,PF00732,Glucose-methanol-choline oxidoreductase N-terminal,51,320
A0A0A0LLM9,mobidb-lite,disorder_prediction,98,155
A0A0A0LLY1,PF00076,RNA recognition motif domain,11,79
A0A0A0LMQ5,PF04784,Domain of unknown function DUF547,407,540
A0A0A0LW91,PF00390,Malic enzyme N-terminal domain,116,297
A0A0A0LYC2,PF01535,Pentatricopeptide repeat,258,286
A0A0A0MJH5,PF00115,Cytochrome c oxidase subunit I,2,219
A0A0A0MLW7,PF00043,Glutathione S-transferase C-terminal,46,131
A0A0A0MTS7,PF00041,Fibronectin type III,21067,21156
A0A0A0P578,PF04565,RNA polymerase Rpb2 domain 3,66,130
A0A0A0P680,PF04565,RNA polymerase Rpb2 domain 3,73,137
A0A0A0PAU2,PF00115,Cytochrome c oxidase subunit I,2,218
A0A0A0QMX4,PF02788,Ribulose bisphosphate carboxylase large subunit ferrodoxin-like N-terminal,15,135
A0A0A0R4L8,PF05208,Glycosyltransferase ALG3,2,155
A0A0A0REY9,PF02790,Cytochrome C oxidase subunit II transmembrane domain,1,76
A0A0A0S279,PF01590,GAF domain,4,110
A0A0A0UNC0,PF12041,Transcriptional factor DELLA N-terminal,30,95
A0A0A0VFX6,PF00507,NADH:ubiquinone/plastoquinone oxidoreductase chain 3,9,107
A0A0A0VGA0,PF17207,MCM OB domain,4,105
A0A0A0WDJ9,PF04566,RNA polymerase Rpb2 domain 4,88,149
A0A0A0YXB5,PF00110,Wnt,1,118
A0A0A1HAN0,PF00361,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,128,411
A0A0A1MTT0,PF12937,F-box domain,5,39
A0A0A1MXR0,mobidb-lite,disorder_prediction,757,784
A0A0A1MZE6,PF00400,WD40 repeat,298,323
A0A0A1N3G6,mobidb-lite,disorder_prediction,1,38
A0A0A1NGX5,LowComplexity,Uncharacterized protein OS=Rhizopus microsporus GN=RMCBS344292_05332 PE=4 SV=1,931,945
A0A0A1NH28,mobidb-lite,disorder_prediction,12,37
A0A0A1NS69,PF03330,RlpA-like protein double-psi beta-barrel domain,48,145
A0A0A1NT07,PF00412,Zinc finger LIM-type,36,100
A0A0A1NVN8,PF00520,Ion transport domain,32,108
A0A0A1PH34,PF12409,P-type ATPase subfamily  V,157,286
A0A0A1PIR5,PF07970,Endoplasmic reticulum vesicle transporter C-terminal,64,290
A0A0A1PKM6,PF04263,Thiamin pyrophosphokinase catalytic domain,36,155
A0A0A1SZE0,PF06644,ATP11,45,315
A0A0A1T2N8,mobidb-lite,disorder_prediction,542,609
A0A0A1T9J0,PF04082,Transcription factor domain fungi,332,423
A0A0A1TEV1,mobidb-lite,disorder_prediction,22,56
A0A0A1TG25,PF09286,Peptidase S53 activation domain,38,180
A0A0A1TH69,PF06472,ABC transporter type 1 transmembrane domain,138,419
A0A0A1TH95,PF00082,Peptidase S8/S53 domain,47,177
A0A0A1TKE4,PF00400,WD40 repeat,1243,1274
A0A0A1TNY4,mobidb-lite,disorder_prediction,389,472
A0A0A1TS26,PF00149,Calcineurin-like phosphoesterase domain ApaH type,176,405
A0A0A1UQY2,PF00109,Beta-ketoacyl synthase N-terminal,2,226
A0A0A1URR6,PF00172,Zn(2)-C6 fungal-type DNA-binding domain,21,50
A0A0A1UZL3,mobidb-lite,disorder_prediction,741,809
A0A0A1V0C3,PF08774,VRR-NUC domain,731,848
A0A0A1V0E3,mobidb-lite,disorder_prediction,17,222
A0A0A1V5J9,mobidb-lite,disorder_prediction,431,466
A0A0A1WCK4,PF08516,ADAM cysteine-rich,319,395
A0A0A1WEX0,mobidb-lite,disorder_prediction,632,654
A0A0A1WLW5,PF04389,Peptidase M28,125,348
A0A0A1WQR3,PF01064,Activin types I and II receptor domain,23,104
A0A0A1WR48,mobidb-lite,disorder_prediction,759,918
A0A0A1WSK9,PF14637,Folliculin-interacting protein middle domain,277,500
A0A0A1X1S5,mobidb-lite,disorder_prediction,590,650
A0A0A1X2E1,PF00307,Calponin homology domain,102,206
A0A0A1X502,PF08953,Domain of unknown function DUF1899,4,69
A0A0A1X5X9,PF13855,Leucine-rich repeat,89,148
A0A0A1XAT7,mobidb-lite,disorder_prediction,1,35
A0A0A1XCD8,CoiledCoil,GRIP and coiled-coil domain-containing protein 2 OS=Bactrocera cucurbitae GN=Gcc2_1 PE=4 SV=1,539,567
A0A0A1XGT7,PF01151,ELO family,30,270
A0A0A1XIF4,PF01066,CDP-alcohol phosphatidyltransferase,49,129
A0A0A1XR49,PF00787,Phox homologous domain,17,105
A0A0A2ICJ1,PF12554,Mitotic-spindle organizing protein 1,17,63
A0A0A2ITW2,mobidb-lite,disorder_prediction,1,73
A0A0A2IWW6,mobidb-lite,disorder_prediction,1,53
A0A0A2J5P6,PF04082,Transcription factor domain fungi,259,333
A0A0A2JLE6,PF00023,Ankyrin repeat,792,821
A0A0A2JME8,PF00172,Zn(2)-C6 fungal-type DNA-binding domain,36,71
A0A0A2JMM4,mobidb-lite,disorder_prediction,928,948
A0A0A2JY42,PF14231,GXWXG domain,28,83
A0A0A2K4F8,mobidb-lite,disorder_prediction,1,59
A0A0A2KAA7,mobidb-lite,disorder_prediction,423,464
A0A0A2KDR8,PF11913,Protein of unknown function DUF3431,8,186
A0A0A2KNT0,mobidb-lite,disorder_prediction,479,504
A0A0A2L1S1,PF05001,RNA polymerase II heptapeptide repeat eukaryotic,1654,1667
A0A0A2L9W2,PF00668,Condensation domain,1650,2069
A0A0A2LA67,PF00160,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,108,262
A0A0A2LDU5,mobidb-lite,disorder_prediction,109,152
A0A0A6Z4A6,PF02301,HORMA domain,1,139
A0A0A6Z6Z3,PF00148,Nitrogenase/oxidoreductase component 1,22,439
A0A0A6ZCM1,PF00032,Cytochrome b/b6 C-terminal,261,362
A0A0A6ZD21,PF01824,Maturase MatK N-terminal domain,1,133
A0A0A6ZIL3,PF01824,Maturase MatK N-terminal domain,1,311
A0A0A7AH31,PF00115,Cytochrome c oxidase subunit I,1,189
A0A0A7AT49,PF01824,Maturase MatK N-terminal domain,2,156
A0A0A7B6C4,PF00115,Cytochrome c oxidase subunit I,2,206
A0A0A7CLS5,mobidb-lite,disorder_prediction,375,394
A0A0A7DQX1,PF00361,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,126,427
A0A0A7EX39,PF02437,Transforming protein Ski,1,29
A0A0A7EX61,mobidb-lite,disorder_prediction,1,32
A0A0A7LW76,PF00969,MHC class II beta chain N-terminal,9,80
A0A0A7LWU3,PF02788,Ribulose bisphosphate carboxylase large subunit ferrodoxin-like N-terminal,4,124
A0A0A7M0Y9,PF13855,Leucine-rich repeat,92,151
A0A0A8KYA7,PF00125,Histone H2A/H2B/H3,2,96
A0A0A9A876,PF00067,Cytochrome P450,1,119
A0A0A9ACM4,PF06708,Protein of unknown function DUF1195,11,154
A0A0A9EQY0,PF10270,Magnesium transporter,10,72
A0A0A9FNL2,PF00664,ABC transporter type 1 transmembrane domain,584,857
A0A0A9HD96,PF02362,B3 DNA binding domain,40,121
A0A0A9HY10,PF14299,Phloem protein 2-like,1,111
A0A0A9J4I9,PF00646,F-box domain,43,82
A0A0A9LRM1,mobidb-lite,disorder_prediction,219,245
A0A0A9M5R1,mobidb-lite,disorder_prediction,1,47
A0A0A9ND22,PF00013,K Homology domain type 1,108,170
A0A0A9P422,PF14953,Protein of unknown function DUF4504,13,137
A0A0A9PVY8,PF04782,Domain of unknown function DUF632,1,131
A0A0A9QKU9,PF04928,Poly(A) polymerase central domain,12,71
A0A0A9RA29,PF03514,Transcription factor GRAS,1,57
A0A0A9TTG5,PF13855,Leucine-rich repeat,2,56
A0A0A9VX15,PF01189,SAM-dependent methyltransferase RsmB/NOP2-type,51,291
A0A0A9W1G6,mobidb-lite,disorder_prediction,314,357
A0A0A9W4K4,PF00118,Chaperonin Cpn60/TCP-1 family,30,518
A0A0A9W7Q2,PF16909,Vacuolar protein sorting-associated protein 13 C-terminal,3786,3931
A0A0A9WRZ5,mobidb-lite,disorder_prediction,182,201
A0A0A9WW43,PF02866,Lactate/malate dehydrogenase C-terminal,172,335
A0A0A9X5R4,mobidb-lite,disorder_prediction,510,533
A0A0A9XD60,PF01210,Glycerol-3-phosphate dehydrogenase NAD-dependent N-terminal,5,173
A0A0A9XDS0,PF01044,Vinculin/alpha-catenin,7,260
A0A0A9XDW9,PF00076,RNA recognition motif domain,199,258
A0A0A9XTZ5,mobidb-lite,disorder_prediction,1,24
A0A0A9XUT9,PF15797,Domain of unknown function DUF4706,9,68
A0A0A9Y4M2,PF13532,Alpha-ketoglutarate-dependent dioxygenase AlkB-like,30,216
A0A0A9Y503,PF00013,K Homology domain type 1,48,111
A0A0A9Y6F9,PF13181,Tetratricopeptide repeat,305,336
A0A0A9YBQ5,mobidb-lite,disorder_prediction,820,842
A0A0A9YKB0,mobidb-lite,disorder_prediction,121,184
A0A0A9YRA5,mobidb-lite,disorder_prediction,76,111
A0A0A9ZD07,mobidb-lite,disorder_prediction,320,360
A0A0A9ZDH3,PF00397,WW domain,131,158
A0A0B0DP10,PF01131,DNA topoisomerase type IA central,194,554
A0A0B0DTP9,PF07690,Major facilitator superfamily,78,446
A0A0B0DZ26,mobidb-lite,disorder_prediction,954,1181
A0A0B0E1E4,PF05368,NmrA-like domain,6,256
A0A0B0E2B1,mobidb-lite,disorder_prediction,274,313
A0A0B0E5R8,mobidb-lite,disorder_prediction,444,493
A0A0B0E9P8,mobidb-lite,disorder_prediction,105,169
A0A0B0EDY4,PF13855,Leucine-rich repeat,1032,1090
A0A0B0MJA6,PF01249,Ribosomal protein S21e,1,76
A0A0B0MJL4,mobidb-lite,disorder_prediction,1,42
A0A0B0MUD9,mobidb-lite,disorder_prediction,1,21
A0A0B0N4K9,PF00067,Cytochrome P450,3,395
